time;ax;ay;az;gx;gy;gz;mx;my;mz;normAccel;normGyr
5,2;0,14;1,52;10,2;0,06;-0,17;0,39;12;16;-100;14,8;25,0
5,22;0,14;1,52;10,2;0,06;-0,17;0,39;12;16;-100;10,3;24,6
5,23;0,19;0,71;12,76;0,07;0,01;0,44;12;16;-100;10,3;24,6
5,24;1,74;3,53;3,3;0,12;0,1;0,46;12;16;-100;12,8;25,5
5,25;1,74;3,53;3,3;0,12;0,1;0,46;12;16;-100;5,1;27,8
5,27;-3,3;4,37;12,02;-0,07;0,08;0,49;12;16;-100;5,1;27,8
5,28;5,88;2,22;14,2;0,15;0,17;0,49;12;16;-100;13,2;28,7
5,29;5,88;2,22;14,2;0,15;0,17;0,49;12;16;-100;15,5;30,9
5,3;-4,59;-1,63;11,23;0,27;0,3;0,44;12;16;-100;15,5;30,9
5,32;-4,59;-1,63;11,23;0,27;0,3;0,44;12;16;-100;12,2;34,2
5,33;3,77;0,25;10,46;0,04;0,33;0,37;12;16;-100;12,2;34,2
5,34;2,31;-3,46;9,41;0,11;0,57;0,33;12;16;-100;11,1;28,5
5,36;2,31;-3,46;9,41;0,11;0,57;0,33;12;16;-100;10,3;38,3
5,37;0,79;-0,42;9,37;0;0,44;0,25;12;16;-100;10,3;38,3
5,38;1,48;-1,79;9,94;0;0,18;0,19;12;16;-100;9,4;29,0
5,39;1,48;-1,79;9,94;0;0,18;0,19;12;16;-100;10,2;15,0
5,41;0,89;0,04;13,52;0,13;-0,02;0,16;12;16;-100;10,2;15,0
5,42;0,89;0,04;13,52;0,13;-0,02;0,16;12;16;-100;13,5;11,9
5,43;-3,22;3,31;15,58;-0,01;-0,16;0,19;12;16;-100;13,5;11,9
5,44;-1,43;-0,32;29,12;0,17;-0,28;0,23;12;16;-100;16,2;14,2
5,45;-1,43;-0,32;29,12;0,17;-0,28;0,23;12;16;-100;29,2;22,9
5,47;-2,03;-0,7;10,18;0,37;-0,49;0,18;12;16;-100;29,2;22,9
5,48;5,97;2,06;9,68;0,15;-0,22;0,27;12;16;-100;10,4;36,7
5,49;5,97;2,06;9,68;0,15;-0,22;0,27;12;16;-100;11,6;21,7
5,51;1,59;5,11;7,83;-0,05;0,05;0,33;12;16;-100;11,6;21,7
5,52;1,59;5,11;7,83;-0,05;0,05;0,33;12;16;-100;9,5;19,3
5,53;-1,13;3,12;8,03;0,17;0,58;0,28;12;16;-100;9,5;19,3
5,54;-0,86;-10,08;5,86;0,26;1,66;0,18;12;16;-100;8,7;38,2
5,55;-0,86;-10,08;5,86;0,26;1,66;0,18;12;16;-100;11,7;96,8
5,57;-0,19;-20,72;8,51;0,36;1,65;-0,19;12;16;-100;11,7;96,8
5,58;4,27;-21,95;17,33;1,16;0,93;-0,82;12;16;-100;22,4;97,4
5,59;4,27;-21,95;17,33;1,16;0,93;-0,82;12;16;-100;28,3;97,3
5,6;3,28;-10,45;14,2;3,28;0,35;-1,22;12;16;-100;28,3;97,3
5,62;3,28;-10,45;14,2;3,28;0,35;-1,22;12;16;-100;17,9;201,5
5,63;-1,96;7,89;10,11;6,18;0,69;-1,24;12;16;-100;17,9;201,5
5,64;-7,54;17,81;-0,17;8,47;1,51;-0,62;12;16;-100;13,0;363,3
5,65;-7,54;17,81;-0,17;8,47;1,51;-0,62;12;16;-100;19,3;494,2
5,67;3,87;16,09;26,73;9,18;-0,86;0,2;12;16;-100;19,3;494,2
5,68;4,4;4,48;20,13;5,71;-3,73;-0,23;12;16;-100;31,4;528,4
5,69;4,4;4,48;20,13;5,71;-3,73;-0,23;12;16;-100;21,1;391,0
5,7;1,96;2,34;22,31;3,75;-4,28;-0,26;12;16;-100;21,1;391,0
5,78;1,59;8,68;0,83;0,96;-1,2;-0,76;12;16;-100;22,5;326,4
5,86;0,51;0,81;-9,76;-4,14;0,95;1,72;12;16;-100;8,9;98,2
5,94;-0,32;-7,63;-34,89;-4,94;7,34;1,75;12;16;-100;9,8;262,6
6,02;0,83;-1,18;-1,21;-0,41;-1,74;-0,06;12;16;-100;35,7;516,7
6,1;11,91;5,36;35,33;0,96;-4,13;-0,18;12;16;-100;1,9;102,5
6,11;4,44;-5,71;13,61;-0,99;-1,82;0,02;12;16;-100;37,7;243,2
6,12;-2,67;0,58;10,69;-0,93;0,34;0,04;12;16;-100;15,4;118,7
6,13;-2,67;0,58;10,69;-0,93;0,34;0,04;12;16;-100;11,0;56,8
6,14;0,09;-1,83;16,45;-0,17;-0,1;0,04;12;16;-100;11,0;56,8
6,16;0,09;-1,83;16,45;-0,17;-0,1;0,04;12;16;-100;16,6;11,5
6,17;2,12;2,46;8,44;0,35;-0,85;0,04;12;16;-100;16,6;11,5
6,18;4,1;9,94;11,24;0,28;-0,03;0,04;12;16;-100;9,0;52,7
6,2;4,1;9,94;11,24;0,28;-0,03;0,04;12;16;-100;15,6;16,3
6,21;2,88;15,1;1,4;0,16;0,69;0,04;12;16;-100;15,6;16,3
6,22;1,45;13,67;12,47;0,06;0,59;0,04;12;16;-100;15,4;40,6
6,23;1,45;13,67;12,47;0,06;0,59;0,04;12;16;-100;18,6;34,1
6,24;-3,51;5,54;8,42;0,3;-0,05;0,04;12;16;-100;18,6;34,1
6,26;-3,51;5,54;8,42;0,3;-0,05;0,04;12;16;-100;10,7;17,6
6,27;1,69;0,53;-0,43;0,32;-0,24;0,04;12;16;-100;10,7;17,6
6,28;-0,83;-5,13;14,62;0,35;0;0,04;12;16;-100;1,8;23,0
6,3;-0,83;-5,13;14,62;0,35;0;0,04;12;16;-100;15,5;20,2
6,31;-2,35;-2,18;10,99;0,34;0,36;0,04;12;16;-100;15,5;20,2
6,32;1,03;-2,94;6,37;0,3;0,31;0,04;12;16;-100;11,4;28,5
6,33;1,03;-2,94;6,37;0,3;0,31;0,04;12;16;-100;7,1;24,8
6,34;2,18;-1,33;24,9;0,2;0,12;0,04;12;16;-100;7,1;24,8
6,36;2,18;-1,33;24,9;0,2;0,12;0,04;12;16;-100;25,0;13,6
6,37;-0,94;-1,96;-4,77;0,4;-0,01;0,04;12;16;-100;25,0;13,6
6,38;-0,77;-2,41;1,29;0,22;0,02;0,04;12;16;-100;5,2;23,0
6,39;-0,77;-2,41;1,29;0,22;0,02;0,04;12;16;-100;2,8;12,9
